Expenditure_Date,Payee_Name,Payee_State,Payee_Type,Amount,CF_ID,Committee_Name,Expense_Category,Expense_Purpose,Filing_Period
9/10/2008,Bill Lustfield,DE,Business/Group/Organization,15.07,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
5/2/2008,Celtic Harvest,DE,Business/Group/Organization,240,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
3/8/2008,James G. McGiffin  Jr.,DE,Business/Group/Organization,2,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
9/14/2008,Lori James,DE,Business/Group/Organization,85,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
9/25/2008,Bill Lustfield,DE,Business/Group/Organization,133.5,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
9/14/2008,Ciro Poppiti,DE,Business/Group/Organization,90,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
9/14/2008,Celtic Harvest,DE,Business/Group/Organization,240,1000334,The Committee to Elect Brian Bushweller,In-Kind,Data Conversion,2008 30 Day General
2/14/2008,Tidewater Environmental Services,DE,Business/Group/Organization,200,1001656,Friends of Don Post,In-Kind,Data Conversion,2008 8 Day Primary
2/14/2008,Tidewater Environmental Services,DE,Business/Group/Organization,175,1001656,Friends of Don Post,In-Kind,Data Conversion,2008 8 Day Primary
7/24/2008,Michael Clarke,DE,Business/Group/Organization,131.36,1001642,Friends of Nnamdi,In-Kind,Data Conversion,2008 30 Day Primary
8/9/2008,Shanenna McNeil,DE,Business/Group/Organization,31,1001642,Friends of Nnamdi,In-Kind,Data Conversion,2008 30 Day Primary
8/9/2008,Michael Clarke,DE,Business/Group/Organization,31,1001642,Friends of Nnamdi,In-Kind,Data Conversion,2008 30 Day Primary
7/26/2008,Michael Clarke,DE,Business/Group/Organization,65.16,1001642,Friends of Nnamdi,In-Kind,Data Conversion,2008 30 Day Primary
3/5/2008,Chika Chukwuocha,DE,Business/Group/Organization,7,1001642,Friends of Nnamdi,In-Kind,Data Conversion,2008 30 Day Primary
7/27/2008,Michael Clarke,DE,Business/Group/Organization,35.2,1001642,Friends of Nnamdi,In-Kind,Data Conversion,2008 30 Day Primary
1/8/2008,Cate Elander,DE,Business/Group/Organization,1,1001575,Committee to Elect Ezra,In-Kind,Data Conversion,2008 30 Day General
1/8/2008,Home Grown Cafe,DE,Business/Group/Organization,70,1001575,Committee to Elect Ezra,In-Kind,Data Conversion,2008 30 Day General
5/1/2008,Farley Printing,DE,Business/Group/Organization,50,1001546,Committee to Elect Bryon Short,In-Kind,Data Conversion,2008 30 Day General
5/17/2008,Jason Cornell,DE,Business/Group/Organization,310,1001546,Committee to Elect Bryon Short,In-Kind,Data Conversion,2008 30 Day General
6/1/2008,James Donahue,DE,Business/Group/Organization,100,1001546,Committee to Elect Bryon Short,In-Kind,Data Conversion,2008 30 Day General
